symbol,datetime,settleTime,fundingRate,price,volume,amount,marketCap,FDV,circRatio,turnoverRatio,fromATH(%),fromATL(%),openInterest,circulation,issue,volume24h
ACX,2025-03-22 15:00:00,1742630400000,-0.009888,0.3521,22209006.0,8341361.1275,214003495.74,352100000.0,0.6078,0.0523,-79.76,904.19,,607791808.4144224,1000000000.0,11187201.74678224
AIOZ,2025-01-26 23:00:00,1737907200000,-0.006322,0.9004,248149.0,2229565.255,1068666074.0,,,,,,,0.0,0.0,0.0
10000LADYS,2025-04-12 23:00:00,1744473600000,-0.009662,0.0004392,1100123.0,479143.8045,32253355.74,39000999.0,0.827,0.0,-37.85,150843380.89,,73436602323.2083,88800088800.0888,581.782703338513
10000LADYS,2025-06-14 23:00:00,1749916800000,-0.005965,0.0004816,574061.0,274737.4101,35367067.68,42766122.77,0.827,0.0,-31.85,165405684.14,,73436602323.2083,88800088800.0888,581.782703338513
AERO,2025-02-03 11:00:00,1738555200000,-0.00842,0.848,113800.0,890031.95,751583904.23,1462931790.12,0.5138,0.2019,-63.62,13101.13,,886301773.8612943,1725155412.872782,151735601.5572145
ARKM,2025-03-11 15:00:00,1741680000000,-0.009531,0.5747,1798406.0,10418196.606,129364970.0,574700000.0,0.2251,0.5243,-85.61,100.29,,225100000.0,1000000000.0,67829637.90207024
AEVO,2024-03-20 23:00:00,1710950400000,-0.006214,2.398,1262842.0,2984212.152,2188659933.49,2398000000.0,0.9127,0.0063,-37.95,3463.22,,912702224.1426336,1000000000.0,13834265.94588731
ASR,2025-05-04 23:00:00,1746374400000,-0.010053,1.614,2059557.0,3394029.304,12573214.94,16140000.0,,,,,,0.0,10000000.0,0.0
10000WEN,2024-02-13 07:00:00,1707782400000,-0.008388,0.737,340264.0,2556268.45,53632739.31,53632739.31,1.0,0.0,141897.19,4269835.38,,72771695.1329,72771695.1329,386.106351652528
ATH,2025-03-08 15:00:00,1741420800000,-0.007413,0.03702,1949355.0,721450.8681,422316350.11,1554840000.0,0.2716,0.0704,-94.24,51.53,,11407789036.0,42000000000.0,29725793.37042542
AUDIO,2025-04-22 07:00:00,1745280000000,-0.010033,0.0855,62901415.0,5417734.25074,115357633.78,101545255.58,,,,,,0.0,1187663808.0,0.0
ARCSOL,2025-02-13 23:00:00,1739462400000,-0.005219,0.318,2687995.0,8233581.271,317999465.44,317999465.44,1.0,0.0015,-49.95,5532.6,,999998319.0,999998319.0,472029.17869881
