token,funding_rate,funding_category,avg_stable_funding,stable_volatility,drop_magnitude,stability_score,entry_price,high_price,change_pct,candles_to_peak,position_size_usdt,profit_usdt,profit_pct,settle_time,stable_rates,roi_per_candle,risk_reward_ratio
BANANAS31,-0.02012,Strong,0.000146,6.1e-05,0.020266,High,0.025279,0.076836,203.95,1.0,1000,2039.52,203.95,1752148800000,"[6.4e-05, 0.00021, 0.000164]",203.95,0.0098651630301544
B,-0.00511,Strong,6.7e-05,0.000189,0.005177,High,0.11801,0.35041,196.93,1.0,1000,1969.32,196.93,1747872000000,"[0.0002, 0.0002, -0.0002]",196.93,0.0025948306504849
DRIFT,-0.015,Strong,0.0001,0.0,0.0151,High,0.902,2.0866,131.33,1.0,1000,1313.3,131.33,1731052800000,"[0.0001, 0.0001, 0.0001]",131.33,0.011421609685525
DIA,-0.005476,Strong,-0.000211,0.000101,0.005265,High,0.4821,0.9288,92.66,1.0,1000,926.57,92.66,1752955200000,"[-7.3e-05, -0.00025, -0.000311]",92.66,0.0059097776818476
BMT,-0.016504,Strong,-4.6e-05,0.000136,0.016458,High,0.1906,0.3222,69.05,1.0,1000,690.45,69.05,1742270400000,"[5e-05, -0.000238, 5e-05]",69.05,0.0239015206372194
10000WEN,-0.008388,Strong,0.000235,0.000123,0.008623,High,0.716,1.092,52.51,1.0,1000,525.14,52.51,1707782400000,"[0.000207, 0.000398, 0.0001]",52.51,0.0159741001713959
ACH,-0.010227,Strong,2.4e-05,0.000107,0.010251,High,0.0275,0.039822,44.81,1.0,1000,448.07,44.81,1737964800000,"[-0.000128, 0.0001, 0.0001]",44.81,0.0228230305735326
CKB,-0.008743,Strong,3.4e-05,5.8e-05,0.008777,High,0.010081,0.014394,42.78,1.0,1000,427.83,42.78,1726214400000,"[0.0001, 4.3e-05, -4.2e-05]",42.78,0.0204371201496026
BRETT,-0.015,Strong,0.0001,0.0,0.0151,High,0.0391,0.0553,41.43,1.0,1000,414.32,41.43,1714262400000,"[0.0001, 0.0001, 0.0001]",41.43,0.0362056480811006
ENJ,-0.005235,Strong,-4e-06,0.000147,0.005231,High,0.0885,0.1165,31.64,1.0,1000,316.38,31.64,1745193600000,"[-0.000211, 0.0001, 0.0001]",31.64,0.0165455120101137
AERO,-0.00842,Strong,-0.000154,0.000288,0.008266,Medium,0.782,1.029,31.59,1.0,1000,315.86,31.59,1738555200000,"[-0.000561, 5e-05, 5e-05]",31.59,0.0266540044317822
ARCSOL,-0.005219,Strong,-5e-06,7.8e-05,0.005214,High,0.3049,0.3894,27.71,1.0,1000,277.14,27.71,1739462400000,"[-0.000115, 5e-05, 5e-05]",27.71,0.0188343558282208
ARK,-0.005971,Strong,2e-06,4.6e-05,0.005973,High,0.3061,0.3877,26.66,1.0,1000,266.58,26.66,1743897600000,"[2.2e-05, 4.6e-05, -6.1e-05]",26.66,0.022396849212303
AKT,-0.011034,Strong,5e-05,0.0,0.011084,High,1.227,1.494,21.76,1.0,1000,217.6,21.76,1741665600000,"[5e-05, 5e-05, 5e-05]",21.76,0.0507077205882352
AWE,-0.005728,Strong,-1.4e-05,4.8e-05,0.005714,High,0.0634,0.07487,18.09,1.0,1000,180.91,18.09,1751472000000,"[-2.8e-05, 5e-05, -6.4e-05]",18.09,0.0316639027086788
BAL,-0.007444,Strong,4e-05,8.4e-05,0.007484,High,0.762,0.895,17.45,1.0,1000,174.54,17.45,1744099200000,"[0.0001, 0.0001, -7.9e-05]",17.45,0.0426590257879656
BOBA,-0.006396,Strong,3e-05,9.9e-05,0.006426,High,0.9958,1.1622,16.71,1.0,1000,167.1,16.71,1710662400000,"[0.0001, -0.000109, 0.0001]",16.71,0.0382764811490125
AEVO,-0.006214,Strong,-0.000977,8.5e-05,0.005237,High,2.313,2.699,16.69,1.0,1000,166.88,16.69,1710950400000,"[-0.001033, -0.00104, -0.000857]",16.69,0.0372318753744757
10000LADYS,-0.009662,Strong,0.0001,0.0,0.009762,High,0.000418,0.000483,15.64,1.0,1000,155.5,15.55,1744473600000,"[0.0001, 0.0001, 0.0001]",15.55,0.0617774936061381
A8,-0.00577,Strong,-0.000114,0.000232,0.005656,Medium,0.14932,0.17198,15.18,1.0,1000,151.75,15.18,1748462400000,"[-0.000443, 5e-05, 5e-05]",15.18,0.0380105401844532
AUDIO,-0.010033,Strong,-0.000147,0.000178,0.009886,High,0.08481,0.09737,14.81,1.0,1000,148.1,14.81,1745280000000,"[-0.000311, -0.000231, 0.0001]",14.81,0.067744767049291
AMP,-0.008081,Strong,-0.005449,0.000288,0.002632,Medium,0.01088,0.012395,13.92,1.0,1000,139.25,13.92,1733443200000,"[-0.005733, -0.005054, -0.005559]",13.92,0.0580531609195402
10000COQ,-0.005106,Strong,-3.2e-05,0.000187,0.005074,High,0.01082,0.0123,13.68,1.0,1000,136.78,13.68,1739750400000,"[0.0001, -0.000296, 0.0001]",13.68,0.0373245614035087
EDU,-0.00855,Strong,-7.7e-05,0.000142,0.008473,High,0.1397,0.1575,12.74,1.0,1000,127.42,12.74,1744041600000,"[-0.000248, -8.2e-05, 0.0001]",12.74,0.0671114599686028
BOOP,-0.005071,Strong,-2.6e-05,0.000167,0.005045,High,0.3226,0.3614,12.03,1.0,1000,120.27,12.03,1746201600000,"[-7.9e-05, -0.0002, 0.0002]",12.03,0.0421529509559434
BAN,-0.02,Strong,-3.3e-05,0.000136,0.019967,High,0.0566,0.0634,12.01,1.0,1000,120.14,12.01,1738670400000,"[-0.000224, 5e-05, 7.6e-05]",12.01,0.1665278934221482
BADGER,-0.005471,Strong,5.8e-05,0.000272,0.005529,Medium,2.721,3.045,11.91,1.0,1000,119.07,11.91,1724083200000,"[0.000363, -0.000298, 0.000109]",11.91,0.045936188077246
BIGTIME,-0.005011,Strong,-4.6e-05,0.00013,0.004965,High,0.07354,0.08118,10.39,1.0,1000,103.89,10.39,1744905600000,"[-0.000229, 4.2e-05, 5e-05]",10.39,0.0482290664100096
AVAIL,-0.017363,Strong,0.0001,0.0,0.017463,High,0.1218,0.1332,9.36,2.0,1000,93.6,9.36,1736697600000,"[0.0001, 0.0001, 0.0001]",4.68,0.1855021367521367
BOBA,-0.012168,Strong,8.1e-05,2.7e-05,0.012249,High,0.1135,0.124,9.25,2.0,1000,92.51,9.25,1745222400000,"[4.2e-05, 0.0001, 0.0001]",4.625,0.1315459459459459
ARCSOL,-0.005557,Strong,-0.000985,7.8e-05,0.004572,High,0.2708,0.2947,8.83,2.0,1000,88.26,8.83,1739721600000,"[-0.000998, -0.000884, -0.001073]",4.415,0.0629331823329558
